"url","Names link","Names link_link"
"http://hindunames.net/hindu-boy-names-9","Basant","http://hindunames.net/names/info/basant.html"
"http://hindunames.net/hindu-boy-names-9","Basdev","http://hindunames.net/names/info/basdev.html"
"http://hindunames.net/hindu-boy-names-9","Bhadrak","http://hindunames.net/names/info/bhadrak.html"
"http://hindunames.net/hindu-boy-names-9","Bhadrakapil","http://hindunames.net/names/info/bhadrakapil.html"
"http://hindunames.net/hindu-boy-names-9","Bhadraksh","http://hindunames.net/names/info/bhadraksh.html"
"http://hindunames.net/hindu-boy-names-9","Bhadrashree","http://hindunames.net/names/info/bhadrashree.html"
"http://hindunames.net/hindu-boy-names-9","Bhadresh","http://hindunames.net/names/info/bhadresh.html"
"http://hindunames.net/hindu-boy-names-9","Bhagat","http://hindunames.net/names/info/bhagat.html"
"http://hindunames.net/hindu-boy-names-10","Bhagesh","http://hindunames.net/names/info/bhagesh.html"
"http://hindunames.net/hindu-boy-names-10","Bhagirath","http://hindunames.net/names/info/bhagirath.html"
"http://hindunames.net/hindu-boy-names-10","Bhagwant","http://hindunames.net/names/info/bhagwant.html"
"http://hindunames.net/hindu-boy-names-10","Bhairav","http://hindunames.net/names/info/bhairav.html"
"http://hindunames.net/hindu-boy-names-10","Bhamhaghosh","http://hindunames.net/names/info/bhamhaghosh.html"
"http://hindunames.net/hindu-boy-names-10","Bhamhanand","http://hindunames.net/names/info/bhamhanand.html"
"http://hindunames.net/hindu-boy-names-10","Bhanu","http://hindunames.net/names/info/bhanu.html"
"http://hindunames.net/hindu-boy-names-10","Bhanudas","http://hindunames.net/names/info/bhanudas.html"
"http://hindunames.net/hindu-boy-names-10","Bhanumitra","http://hindunames.net/names/info/bhanumitra.html"
"http://hindunames.net/hindu-boy-names-10","Bhanuprakash","http://hindunames.net/names/info/bhanuprakash.html"
"http://hindunames.net/hindu-boy-names-10","Bhanuprasad","http://hindunames.net/names/info/bhanuprasad.html"
"http://hindunames.net/hindu-boy-names-10","Bharadwaj","http://hindunames.net/names/info/bharadwaj.html"
"http://hindunames.net/hindu-boy-names-10","Bharat","http://hindunames.net/names/info/bharat.html"
"http://hindunames.net/hindu-boy-names-10","Bhargav","http://hindunames.net/names/info/bhargav.html"
"http://hindunames.net/hindu-boy-names-10","Bhartesh","http://hindunames.net/names/info/bhartesh.html"
"http://hindunames.net/hindu-boy-names-10","Bhaskar","http://hindunames.net/names/info/bhaskar.html"
"http://hindunames.net/hindu-boy-names-10","Bhavesh","http://hindunames.net/names/info/bhavesh.html"
"http://hindunames.net/hindu-boy-names-10","Bhavik","http://hindunames.net/names/info/bhavik.html"
"http://hindunames.net/hindu-boy-names-10","Bhawanidas","http://hindunames.net/names/info/bhawanidas.html"
